epoch,train_loss,val_loss,val_pixel_error
1,0.12090207156763925,0.043474515198500124,292.9139099121094
2,0.004677085147866169,0.004211075222966346,263.56964111328125
3,0.0034070729060031455,0.0030494363397940414,259.2547302246094
4,0.0028954002899156464,0.0023868825897429284,142.66761779785156
5,0.0023458808527645394,0.001957469108792675,52.772884368896484
6,0.001807804638326395,0.0015124701894819736,41.106231689453125
7,0.0014505980954275897,0.001379657402187102,28.495624542236328
8,0.0011344709766737168,0.0010533504393677433,11.639019012451172
9,0.0009158335197549262,0.0009148861410084193,7.6104230880737305
10,0.0007912384565736469,0.000753660834479061,10.649622917175293
11,0.0006719773457581667,0.0006701059710512591,9.280991554260254
12,0.000595557544679688,0.0005694681588808292,9.003267288208008
13,0.0005967977075899469,0.0006124682980740757,6.598066806793213
14,0.0005402667734931917,0.0005574576521153236,6.519874095916748
15,0.00047835332910347103,0.0005109206721936534,6.50763463973999
16,0.0004563373507070162,0.00047052772065576216,6.374996185302734
17,0.00038846321263701403,0.0004449467947283252,6.124615669250488
18,0.00037876841277748323,0.0005436290861349311,5.99619722366333
19,0.00038316415382905184,0.00041011386277311324,6.224648952484131
20,0.00032706912803667445,0.0003832705748303757,5.8033037185668945
21,0.0003318968680467962,0.0003914682911981091,5.7346625328063965
22,0.0002944710143000775,0.0004240192757169535,5.662730693817139
23,0.00028065881637696417,0.0003385999264171371,5.646450042724609
24,0.0002549028500864267,0.0003353222552989307,6.440366744995117
25,0.00023401574114946405,0.00031947039669476355,5.721894264221191
26,0.00024704180212518575,0.00035189828750762075,6.064229488372803
27,0.00022805241534616696,0.0003157916591070326,5.834403038024902
28,0.00021610571652130994,0.0003173007624520158,5.725549697875977
29,0.00020875601814492216,0.0003281662908878613,5.676996231079102
30,0.00020190371547753398,0.00030820153603729395,5.742304801940918
31,0.00020199577657698068,0.0003157004221892831,7.2879414558410645
