epoch,train_loss,val_dice,global_val_dice,lr,epoch_seconds
1,1.472668506205082,0.4524568755375257,0.5892428914015256,0.0005,11.49713945388794
2,0.9711968433111906,0.49930381831899145,0.5821639605793699,0.0005,8.269969463348389
3,0.7454239744693041,0.44137420671821004,0.526742899299823,0.0005,8.405719518661499
4,0.6050368063151836,0.5298590142263117,0.625671628397822,0.0005,8.528419971466064
5,0.5566120417788625,0.508980647479559,0.5616550011002787,0.0005,8.649136304855347
6,0.5144963040947914,0.5377660010295354,0.6318532028143177,0.0005,8.591063022613525
7,0.5060043684206903,0.5222848634084464,0.6345444126078688,0.0005,8.436386823654175
8,0.485943959094584,0.5282764856592254,0.5980819529211632,0.0005,8.328192472457886
9,0.48506239289417863,0.5638910037724588,0.6728854670741394,0.0005,8.288150310516357
10,0.4641844118013978,0.5345561526748367,0.7098235138815676,0.0005,8.24066162109375
11,0.4641979644075036,0.5706350177649561,0.6892317380356409,0.0005,8.302015542984009
12,0.45614453637972474,0.5500214893701911,0.7089960939075938,0.0005,8.315203666687012
13,0.4602380162104964,0.5831056841876934,0.7325068434272193,0.0005,8.382128477096558
14,0.455611327663064,0.5524792919436746,0.6740204388050637,0.0005,8.41115427017212
15,0.44504279596731067,0.5397145979852795,0.6168741009448785,0.0005,8.430221319198608
16,0.4500224469229579,0.552219667334124,0.7055536302203848,0.0005,8.418328046798706
17,0.4500133986584842,0.5336679728372109,0.6736533849846965,0.0005,8.397804498672485
18,0.44441660214215517,0.5406671902482811,0.7247354999731704,0.0005,8.35765290260315
19,0.44635633705183864,0.5607337816232114,0.7088384190240713,0.00025,8.338515043258667
20,0.4343506656587124,0.5678356649906612,0.6861220996140305,0.00025,8.342600345611572
21,0.41944490280002356,0.5491219275116046,0.6603433141523696,0.00025,8.362671852111816
22,0.4115480436012149,0.542907554425076,0.6905023130609421,0.00025,8.370334386825562
23,0.41507537942379713,0.5668070105481827,0.7057894855548098,0.00025,8.391741275787354
24,0.4087817333638668,0.5258320567269944,0.6361617173161342,0.00025,8.407754898071289
25,0.41271013393998146,0.5555843336874999,0.7216821262935675,0.000125,8.43656301498413
26,0.40268975077196956,0.571253924928291,0.7227731801293542,0.000125,8.40457820892334
27,0.39828813169151545,0.57157161190285,0.7321030578589061,0.000125,8.35649824142456
28,0.392932481598109,0.5708497722116642,0.7284789385344,0.000125,8.38206958770752
